SyncroProductID,ZohoItemID,ProductName,IncludeDescription
15172027,131952000012040031,Backup Storage,No
15172370,131952000012040031,Backup Storage Free,Yes
21414272,131952000038371011,Backup Server Fee,No
9377543,131952000000102634,Partner Monthly Support,No
9380414,131952000001765275,Partner Monthly Location,No
9387222,131952000002574354,Business Helpdesk Onsite,Yes
9387223,131952000002574363,Business Helpdesk Remote,Yes
9387225,131952000002574381,Business Project Office,Yes
9387224,131952000002574372,Business Project Onsite,Yes
DEFAULT,131952000003137507,SAAS Products,Yes
